index_name,거래일,시가,고가,저가,종가,거래량,거래대금,market
코스피,20180403,2422.26,2442.43,2416.44,2442.43,496999711,7949378193897,KOSPI
코스닥,20180403,857.83,872.32,857.40,872.32,707449462,4777954121949,KOSDAQ
코스피,20180404,2447.97,2447.97,2405.91,2408.06,551581953,8091436886699,KOSPI
코스닥,20180404,877.15,877.15,858.29,862.51,811457146,5999542116160,KOSDAQ
코스피,20180405,2426.92,2446.78,2420.92,2437.52,590771147,7565538281350,KOSPI
코스닥,20180405,871.09,873.64,865.92,868.93,822183353,5834124095326,KOSDAQ
코스피,20180406,2420.88,2433.97,2417.24,2429.58,454112072,7300042633562,KOSPI
코스닥,20180406,867.43,869.81,863.92,867.96,821697344,5129837045001,KOSDAQ
코스피,20180409,2424.15,2446.28,2424.15,2444.08,334287144,6606676511442,KOSPI
코스닥,20180409,866.75,874.44,865.50,874.44,844737065,5735363981960,KOSDAQ
코스피,20180410,2439.94,2454.36,2419.55,2450.74,356275116,7519514578824,KOSPI
코스닥,20180410,876.22,877.30,866.74,877.30,985256080,6306041622516,KOSDAQ
코스피,20180411,2456.53,2458.99,2441.20,2444.22,354880572,7466574364771,KOSPI
코스닥,20180411,882.58,886.14,880.87,885.38,857559214,6665410373085,KOSDAQ
코스피,20180412,2450.95,2454.95,2441.58,2442.71,441485914,8152470102102,KOSPI
코스닥,20180412,888.20,889.02,879.17,881.45,947965839,7823902038434,KOSDAQ
코스피,20180413,2449.42,2457.85,2442.35,2455.07,395798099,6923457098332,KOSPI
코스닥,20180413,884.12,892.75,877.74,891.87,968871785,7164189872385,KOSDAQ
코스피,20180416,2466.04,2466.16,2449.97,2457.49,347083653,6220287104943,KOSPI
코스닥,20180416,895.32,899.20,894.09,896.89,994537187,6633560379467,KOSDAQ
코스피,20180417,2459.39,2465.63,2449.08,2453.77,394513124,6359689394568,KOSPI
코스닥,20180417,900.50,901.22,896.83,901.22,1262721375,6847913093612,KOSDAQ
코스피,20180418,2467.55,2486.73,2467.55,2479.98,647149055,8203622467187,KOSPI
코스닥,20180418,905.62,906.06,890.73,893.32,1508087123,8250966824871,KOSDAQ
코스피,20180419,2483.26,2490.57,2476.51,2486.10,726905678,10117724675518,KOSPI
코스닥,20180419,892.20,892.20,878.19,882.73,1659477192,7966298311264,KOSDAQ
코스피,20180420,2478.59,2485.15,2472.37,2476.33,531430450,7840042434278,KOSPI
코스닥,20180420,885.59,892.01,880.68,889.17,1383879043,6625217260002,KOSDAQ
코스피,20180423,2473.70,2478.57,2466.57,2474.11,700794516,9369235459126,KOSPI
코스닥,20180423,888.39,890.32,877.36,879.02,1382757124,6934792134155,KOSDAQ
코스피,20180424,2478.47,2479.32,2454.44,2464.14,523949047,8299057003806,KOSPI
코스닥,20180424,881.58,883.78,873.22,873.61,1186609772,6433024241502,KOSDAQ
코스피,20180425,2444.19,2453.54,2436.51,2448.81,465916608,7526989927057,KOSPI
코스닥,20180425,869.31,879.00,862.05,869.93,1166319737,6120404991572,KOSDAQ
코스피,20180426,2460.62,2484.09,2456.20,2475.64,520819077,7921186756016,KOSPI
코스닥,20180426,876.27,879.87,874.21,879.39,940631734,5021923406102,KOSDAQ
코스피,20180427,2497.75,2508.13,2484.19,2492.40,464890055,8298867382223,KOSPI
코스닥,20180427,886.37,886.62,880.03,886.49,1103115684,5484704906849,KOSDAQ
코스피,20180430,2502.29,2515.38,2500.22,2515.38,746080931,9459219119895,KOSPI
코스닥,20180430,886.29,886.60,870.54,875.95,1337724022,6644926578345,KOSDAQ
코스피,20180502,2515.75,2516.57,2501.71,2505.61,807424841,11711466465581,KOSPI
코스닥,20180502,869.52,877.54,863.59,871.03,1339731608,7071458831810,KOSDAQ
코스피,20180503,2506.94,2507.91,2487.25,2487.25,614010593,7865612330735,KOSPI
코스닥,20180503,873.34,876.08,866.05,866.07,1341512341,6186471380832,KOSDAQ
코스피,20180504,2486.47,2487.77,2461.38,2461.38,611921182,10816017391566,KOSPI
코스닥,20180504,868.35,870.10,856.34,856.34,1114463669,5521127900558,KOSDAQ
코스피,20180508,2468.45,2479.75,2444.08,2449.81,714577150,9629916772200,KOSPI
코스닥,20180508,860.56,863.56,827.20,827.22,935182867,5346334571788,KOSDAQ
코스피,20180509,2450.71,2451.86,2428.79,2443.98,593134539,9068285478227,KOSPI
코스닥,20180509,833.48,851.28,815.27,850.85,896086216,5835012954597,KOSDAQ
코스피,20180510,2458.67,2464.72,2448.01,2464.16,489875468,8869813559103,KOSPI
코스닥,20180510,852.28,855.82,846.14,854.93,839100345,4987935292088,KOSDAQ
코스피,20180511,2469.30,2483.85,2468.41,2477.71,599823312,7588342095411,KOSPI
코스닥,20180511,855.25,866.86,855.25,865.93,826253916,4927601719172,KOSDAQ
코스피,20180514,2482.97,2486.17,2471.91,2476.11,650550067,9562348051340,KOSPI
코스닥,20180514,869.44,869.92,855.54,858.70,877250390,5112353005396,KOSDAQ
코스피,20180515,2476.87,2480.22,2456.20,2458.54,712498733,9445704647261,KOSPI
코스닥,20180515,865.53,867.13,858.55,862.94,947276373,5658654495211,KOSDAQ
코스피,20180516,2446.64,2465.55,2444.67,2459.82,691622298,9816191951931,KOSPI
코스닥,20180516,857.24,857.24,846.90,850.29,1128503041,6241695974845,KOSDAQ
코스피,20180517,2468.72,2472.82,2448.43,2448.45,596682270,8190104269437,KOSPI
코스닥,20180517,854.46,857.56,852.91,855.62,935203233,5311143044637,KOSDAQ
코스피,20180518,2459.73,2461.95,2452.34,2460.65,431317792,6462757760129,KOSPI
코스닥,20180518,858.08,869.80,857.66,869.45,951908837,5185072707066,KOSDAQ
코스피,20180521,2464.07,2472.30,2447.69,2465.57,587991919,6297963149740,KOSPI
코스닥,20180521,871.49,876.12,870.52,872.96,887761548,4626044936482,KOSDAQ
코스피,20180523,2462.98,2476.86,2460.07,2471.91,752595167,9261629857950,KOSPI
코스닥,20180523,875.12,875.36,867.28,869.16,828606081,5295987153231,KOSDAQ
코스피,20180524,2477.48,2481.31,2457.84,2466.01,638056683,6765893174787,KOSPI
코스닥,20180524,871.68,875.31,866.47,873.32,1027250299,5746266823477,KOSDAQ
코스피,20180525,2452.80,2466.57,2444.77,2460.80,653436415,9077861923086,KOSPI
코스닥,20180525,866.20,870.71,859.09,868.35,1065652550,6062766972416,KOSDAQ
코스피,20180528,2465.00,2482.40,2463.14,2478.96,708262524,9840758684907,KOSPI
