company_name,stock_code,corp_code,bsns_year,report_name,reprt_code,fs_div,api_status,api_message,account_row_count,collected
HD현대일렉트릭,267260,01205851,2019,분기보고서_1분기,11013,CFS,000,정상,137,True
HD현대일렉트릭,267260,01205851,2019,분기보고서_1분기,11013,OFS,000,정상,112,True
HD현대일렉트릭,267260,01205851,2019,분기보고서_3분기,11014,CFS,000,정상,146,True
HD현대일렉트릭,267260,01205851,2019,분기보고서_3분기,11014,OFS,000,정상,119,True
HD현대일렉트릭,267260,01205851,2019,사업보고서,11011,CFS,000,정상,175,True
HD현대일렉트릭,267260,01205851,2019,사업보고서,11011,OFS,000,정상,143,True
HD현대일렉트릭,267260,01205851,2020,반기보고서,11012,CFS,000,정상,145,True
HD현대일렉트릭,267260,01205851,2020,반기보고서,11012,OFS,000,정상,118,True
HD현대일렉트릭,267260,01205851,2020,분기보고서_1분기,11013,CFS,000,정상,137,True
HD현대일렉트릭,267260,01205851,2020,분기보고서_1분기,11013,OFS,000,정상,112,True
HD현대일렉트릭,267260,01205851,2020,분기보고서_3분기,11014,CFS,000,정상,146,True
HD현대일렉트릭,267260,01205851,2020,분기보고서_3분기,11014,OFS,000,정상,118,True
HD현대일렉트릭,267260,01205851,2020,사업보고서,11011,CFS,000,정상,170,True
HD현대일렉트릭,267260,01205851,2020,사업보고서,11011,OFS,000,정상,137,True
HD현대일렉트릭,267260,01205851,2021,반기보고서,11012,CFS,000,정상,136,True
HD현대일렉트릭,267260,01205851,2021,반기보고서,11012,OFS,000,정상,112,True
HD현대일렉트릭,267260,01205851,2021,분기보고서_1분기,11013,CFS,000,정상,135,True
HD현대일렉트릭,267260,01205851,2021,분기보고서_1분기,11013,OFS,000,정상,109,True
HD현대일렉트릭,267260,01205851,2021,분기보고서_3분기,11014,CFS,000,정상,138,True
HD현대일렉트릭,267260,01205851,2021,분기보고서_3분기,11014,OFS,000,정상,116,True
HD현대일렉트릭,267260,01205851,2021,사업보고서,11011,CFS,000,정상,166,True
HD현대일렉트릭,267260,01205851,2021,사업보고서,11011,OFS,000,정상,136,True
HD현대일렉트릭,267260,01205851,2022,반기보고서,11012,CFS,000,정상,139,True
HD현대일렉트릭,267260,01205851,2022,반기보고서,11012,OFS,000,정상,109,True
HD현대일렉트릭,267260,01205851,2022,분기보고서_1분기,11013,CFS,000,정상,123,True
HD현대일렉트릭,267260,01205851,2022,분기보고서_1분기,11013,OFS,000,정상,106,True
HD현대일렉트릭,267260,01205851,2022,분기보고서_3분기,11014,CFS,000,정상,140,True
HD현대일렉트릭,267260,01205851,2022,분기보고서_3분기,11014,OFS,000,정상,110,True
HD현대일렉트릭,267260,01205851,2022,사업보고서,11011,CFS,000,정상,161,True
HD현대일렉트릭,267260,01205851,2022,사업보고서,11011,OFS,000,정상,129,True
HD현대일렉트릭,267260,01205851,2023,반기보고서,11012,CFS,000,정상,147,True
HD현대일렉트릭,267260,01205851,2023,반기보고서,11012,OFS,000,정상,114,True
HD현대일렉트릭,267260,01205851,2023,분기보고서_1분기,11013,CFS,000,정상,135,True
HD현대일렉트릭,267260,01205851,2023,분기보고서_1분기,11013,OFS,000,정상,106,True
HD현대일렉트릭,267260,01205851,2023,분기보고서_3분기,11014,CFS,000,정상,151,True
HD현대일렉트릭,267260,01205851,2023,분기보고서_3분기,11014,OFS,000,정상,117,True
HD현대일렉트릭,267260,01205851,2023,사업보고서,11011,CFS,000,정상,168,True
HD현대일렉트릭,267260,01205851,2023,사업보고서,11011,OFS,000,정상,129,True
HD현대일렉트릭,267260,01205851,2024,반기보고서,11012,CFS,000,정상,175,True
HD현대일렉트릭,267260,01205851,2024,반기보고서,11012,OFS,000,정상,128,True
HD현대일렉트릭,267260,01205851,2024,분기보고서_1분기,11013,CFS,000,정상,171,True
HD현대일렉트릭,267260,01205851,2024,분기보고서_1분기,11013,OFS,000,정상,125,True
HD현대일렉트릭,267260,01205851,2024,분기보고서_3분기,11014,CFS,000,정상,185,True
